AKT2004;Administrasjon
HES2008;Tverrfaglig eksamen helseservicefag
HIS1009;Historie vg2 studieforberedende utdanningsprogram
HIS1010;Historie Vg3 studieforberedende utdanningsprogram
HIS1011;Historie Vg3 påbygging til generell studiekompetanse
HIS1012;Historie, samisk plan, vg2 studieforberedende utdanningsprogram
HIS1013;Historie, samisk plan, Vg3 studieforberedende utdanningsprogram
HIS1014;Historie, samisk plan, Vg3 påbygging til generell studiekompetanse
HIS1015;Historie, Vg3, påbygging til generell studiekompetanse for elever med samisk, kvensk eller finsk som andrespråk
HJU3004;Hjulutrustningsfaget
HJU3103;Hjulutrustningsfaget, skriftlig
HMD3004;Horn-, bein- og metallduodjifaget
